IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.57.245.232,443,TRUE,SJC,North America,San Jose,63 ms,345 kB/s
47.76.214.139,8443,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,339 kB/s
47.238.5.0,2096,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,307 kB/s
8.222.193.65,8443,TRUE,SIN,Asia Pacific,Singapore,220 ms,281 kB/s
47.57.233.126,443,TRUE,SJC,North America,San Jose,69 ms,281 kB/s
8.210.192.93,2083,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,275 kB/s
47.76.222.57,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,275 kB/s
8.210.192.93,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,233 kB/s
47.238.5.0,2083,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,195 kB/s
47.76.222.57,8443,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,182 kB/s
8.210.192.93,2096,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,179 kB/s
8.222.193.65,2096,TRUE,SIN,Asia Pacific,Singapore,227 ms,160 kB/s
47.76.32.108,8443,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,140 kB/s
47.243.5.154,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,134 kB/s
47.76.178.146,2096,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,118 kB/s
47.76.214.139,2096,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,93 kB/s
47.76.214.139,2087,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,73 kB/s
47.236.202.91,2053,TRUE,SIN,Asia Pacific,Singapore,218 ms,64 kB/s
47.76.214.139,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,64 kB/s
47.236.202.91,8443,TRUE,SIN,Asia Pacific,Singapore,219 ms,21 kB/s
8.210.92.27,443,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,16 kB/s
47.76.32.108,2083,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,9 kB/s
8.210.192.93,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,2 kB/s
8.217.121.207,2096,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,0 kB/s
8.217.121.207,2087,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,0 kB/s
47.76.37.57,2083,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,0 kB/s
8.217.121.207,8443,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,0 kB/s
8.222.193.65,2083,TRUE,SIN,Asia Pacific,Singapore,223 ms,0 kB/s
47.76.49.246,2096,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,0 kB/s
47.76.49.246,2083,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,0 kB/s
47.76.32.108,2053,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,0 kB/s
47.76.37.57,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
47.76.37.57,2096,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,0 kB/s
47.243.90.180,8443,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,0 kB/s
47.243.5.154,2053,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,0 kB/s
8.222.193.65,2087,TRUE,SIN,Asia Pacific,Singapore,222 ms,0 kB/s
